algorithm,input,n,time_ms,comparisons,max_depth
mergesort,random,1000,0.2786,9585,8
quicksort,random,1000,0.2487,11832,6
quickselect,random,1000,0.2725,3767,1
mergesort,random,10000,3.9987,127376,11
quicksort,random,10000,1.4176,152930,8
quickselect,random,10000,0.9045,35365,1
mergesort,random,100000,13.637,1640215,14
quicksort,random,100000,18.205,1935815,11
quickselect,random,100000,4.9411,215159,1
mergesort,random,1000000,206.789,19886704,18
quicksort,random,1000000,164.8432,22116814,12
quickselect,random,1000000,14.4781,2340152,1
mergesort,sorted,1000,0.0335,4236,8
quicksort,sorted,1000,0.0657,10263,6
quickselect,sorted,1000,0.0041,2324,1
mergesort,sorted,10000,0.2576,59248,11
quicksort,sorted,10000,0.7302,146676,9
quickselect,sorted,10000,0.0498,28200,1
mergesort,sorted,100000,3.9148,744016,14
quicksort,sorted,100000,6.7003,1925344,11
quickselect,sorted,100000,0.6681,303826,1
mergesort,sorted,1000000,61.9581,9071040,18
quicksort,sorted,1000000,62.5661,21919324,12
quickselect,sorted,1000000,6.4925,3089234,1
mergesort,duplicates,1000,0.0514,9036,8
quicksort,duplicates,1000,0.0224,3004,3
quickselect,duplicates,1000,0.0155,1970,1
mergesort,duplicates,10000,0.5275,121712,11
quicksort,duplicates,10000,0.1741,29891,3
quickselect,duplicates,10000,0.1058,18976,1
mergesort,duplicates,100000,5.1525,1563025,14
quicksort,duplicates,100000,1.5266,339903,2
quickselect,duplicates,100000,0.9974,259577,1
mergesort,duplicates,1000000,72.4051,18922524,18
quicksort,duplicates,1000000,16.9845,3101281,3
quickselect,duplicates,1000000,10.8133,2099835,1
